Time [s],Value
1.027428875000000,0b  0000  0000  0000  0101
1.027429875000000,0b  0000  0000  0000  0101
1.027430875000000,0b  0000  0000  0000  0101
1.027431875000000,0b  0000  0000  0000  0101
1.027432875000000,0b  0000  0000  0000  0101
1.027433875000000,0b  0000  0000  0000  0101
1.027434875000000,0b  0000  0000  0000  0101
1.027435875000000,0b  0000  0000  0000  0101
1.027436875000000,0b  0000  0000  0000  0101
1.027437875000000,0b  0000  0000  0000  0101
1.027438875000000,0b  0000  0000  0000  0101
1.027439875000000,0b  0000  0000  0000  0101
1.027440875000000,0b  0000  0000  0000  0101
1.027441875000000,0b  0000  0000  0000  0101
1.027442875000000,0b  0000  0000  0000  0101
1.027443875000000,0b  0000  0000  0000  0101
1.027444875000000,0b  0000  0000  0000  0101
1.027445875000000,0b  0000  0000  0000  0101
1.027446875000000,0b  0000  0000  0000  0111
1.027447875000000,0b  0000  0000  0000  0101
1.027448875000000,0b  0000  0000  0000  0101
1.027449875000000,0b  0000  0000  0000  0101
1.027450875000000,0b  0000  0000  0000  0101
1.027451875000000,0b  0000  0000  0000  0101
1.027452875000000,0b  0000  0000  0000  0101
1.027453875000000,0b  0000  0000  0000  0101
1.027454875000000,0b  0000  0000  0000  0101
1.027455875000000,0b  0000  0000  0000  0111
1.027456875000000,0b  0000  0000  0000  0101
1.027457875000000,0b  0000  0000  0000  0101
1.027458875000000,0b  0000  0000  0000  0101
1.027459875000000,0b  0000  0000  0000  0101
1.027460875000000,0b  0000  0000  0000  0101
1.027461875000000,0b  0000  0000  0000  0101
1.027462875000000,0b  0000  0000  0000  0101
1.027463875000000,0b  0000  0000  0000  0101
1.027464875000000,0b  0000  0000  0000  0101
1.027465875000000,0b  0000  0000  0000  0111
1.027466875000000,0b  0000  0000  0000  0101
1.027467875000000,0b  0000  0000  0000  0101
1.027468875000000,0b  0000  0000  0000  0101
1.027469875000000,0b  0000  0000  0000  0101
1.027470875000000,0b  0000  0000  0000  0101
1.027471875000000,0b  0000  0000  0000  0101
1.027472875000000,0b  0000  0000  0000  0101
1.027473875000000,0b  0000  0000  0000  0101
1.027474875000000,0b  0000  0000  0000  0101
1.027475875000000,0b  0000  0000  0000  0101
1.027476875000000,0b  0000  0000  0000  0101
1.027477875000000,0b  0000  0000  0000  0101
1.027478875000000,0b  0000  0000  0000  0101
1.027479875000000,0b  0000  0000  0000  0101
1.027480875000000,0b  0000  0000  0000  0101
1.027481875000000,0b  0000  0000  0000  0101
1.027482875000000,0b  0000  0000  0000  0101
1.027483875000000,0b  0000  0000  0000  0101
1.027484875000000,0b  0000  0000  0000  0101
1.027485875000000,0b  0000  0000  0000  0101
1.027486875000000,0b  0000  0000  0000  0101
1.027487875000000,0b  0000  0000  0000  0101
1.027488875000000,0b  0000  0000  0000  0111
1.027489875000000,0b  0000  0000  0000  0101
1.027490875000000,0b  0000  0000  0000  0101
1.027491875000000,0b  0000  0000  0000  0101
1.027492875000000,0b  0000  0000  0000  0111
1.027493875000000,0b  0000  0000  0000  0111
1.027494875000000,0b  0000  0000  0000  0101
1.027495875000000,0b  0000  0000  0000  0101
1.027496875000000,0b  0000  0000  0000  0101
1.027497875000000,0b  0000  0000  0000  0101
1.027498875000000,0b  0000  0000  0000  0111
1.027499875000000,0b  0000  0000  0000  0111
1.027500875000000,0b  0000  0000  0000  0101
1.027501875000000,0b  0000  0000  0000  0101
1.027502875000000,0b  0000  0000  0000  0101
1.027503875000000,0b  0000  0000  0000  0101
1.027504875000000,0b  0000  0000  0000  0101
1.027505875000000,0b  0000  0000  0000  0101
1.027506875000000,0b  0000  0000  0000  0101
1.027507875000000,0b  0000  0000  0000  0101
1.027508875000000,0b  0000  0000  0000  0101
1.027509875000000,0b  0000  0000  0000  0101
1.027510875000000,0b  0000  0000  0000  0101
1.027511875000000,0b  0000  0000  0000  0101
1.027512875000000,0b  0000  0000  0000  0101
1.027513875000000,0b  0000  0000  0000  0101
1.027514875000000,0b  0000  0000  0000  0101
1.027515875000000,0b  0000  0000  0000  0101
1.027516875000000,0b  0000  0000  0000  0101
1.027517875000000,0b  0000  0000  0000  0101
1.027518875000000,0b  0000  0000  0000  0101
1.027519875000000,0b  0000  0000  0000  0101
1.027520875000000,0b  0000  0000  0000  0101
1.027521875000000,0b  0000  0000  0000  0101
1.027522875000000,0b  0000  0000  0000  0101
1.027523875000000,0b  0000  0000  0000  0101
1.027524875000000,0b  0000  0000  0000  0101
1.027525875000000,0b  0000  0000  0000  0101
1.027526875000000,0b  0000  0000  0000  0101
1.027527875000000,0b  0000  0000  0000  0101
1.027528875000000,0b  0000  0000  0000  0101
1.027529875000000,0b  0000  0000  0000  0101
1.027530875000000,0b  0000  0000  0000  0101
1.027531875000000,0b  0000  0000  0000  0101
1.027532875000000,0b  0000  0000  0000  0101
1.027533875000000,0b  0000  0000  0000  0101
1.027534875000000,0b  0000  0000  0000  0101
1.027535875000000,0b  0000  0000  0000  0101
1.027536875000000,0b  0000  0000  0000  0101
1.027537875000000,0b  0000  0000  0000  0101
1.027538875000000,0b  0000  0000  0000  0101
1.027539875000000,0b  0000  0000  0000  0101
1.027540875000000,0b  0000  0000  0000  0101
1.027541875000000,0b  0000  0000  0000  0101
1.027542875000000,0b  0000  0000  0000  0101
1.027543875000000,0b  0000  0000  0000  0101
1.027544875000000,0b  0000  0000  0000  0101
1.027545875000000,0b  0000  0000  0000  0101
1.027546875000000,0b  0000  0000  0000  0101
1.027547875000000,0b  0000  0000  0000  0101
1.027548875000000,0b  0000  0000  0000  0101
1.027549875000000,0b  0000  0000  0000  0101
1.027550875000000,0b  0000  0000  0000  0101
1.027551875000000,0b  0000  0000  0000  0101
1.027552875000000,0b  0000  0000  0000  0101
1.027553875000000,0b  0000  0000  0000  0101
1.027554875000000,0b  0000  0000  0000  0101
1.027555875000000,0b  0000  0000  0000  0101
1.027556875000000,0b  0000  0000  0000  0111
1.027557875000000,0b  0000  0000  0000  0101
1.027558875000000,0b  0000  0000  0000  0101
1.027559875000000,0b  0000  0000  0000  0101
